Time,GMSL,GMSL uncertainty
1896-01-15,-148.4,21.6
1896-02-15,-158.4,21.5
1896-03-15,-155.4,21.5
1896-04-15,-150.4,21.5
1896-05-15,-144.1,21.5
1896-06-15,-135.3,21.1
1896-07-15,-138.0,21.1
1896-08-15,-138.9,20.9
1896-09-15,-144.2,20.9
1896-10-15,-146.9,20.9
1896-11-15,-149.7,20.9
1896-12-15,-152.1,20.9
1897-01-15,-149.5,20.8
1897-02-15,-149.8,20.8
1897-03-15,-143.9,20.8
1897-04-15,-142.2,20.8
1897-05-15,-132.6,20.8
1897-06-15,-130.8,20.3
1897-07-15,-127.1,20.3
1897-08-15,-129.8,21.0
1897-09-15,-136.5,21.0
1897-10-15,-143.5,21.0
1897-11-15,-158.1,21.0
1897-12-15,-155.5,21.0
1898-01-15,-149.0,19.7
1898-02-15,-134.5,19.7
1898-03-15,-126.6,19.7
1898-04-15,-124.9,19.7
1898-05-15,-123.6,19.7
1898-06-15,-129.7,19.7
1898-07-15,-133.4,19.7
1898-08-15,-139.5,19.7
1898-09-15,-137.4,19.7
1898-10-15,-132.3,19.7
1898-11-15,-128.4,19.7
1898-12-15,-127.3,19.7
1899-01-15,-126.7,19.4
1899-02-15,-129.0,19.4
1899-03-15,-128.0,19.4
1899-04-15,-125.0,19.4
1899-05-15,-127.9,19.4
1899-06-15,-128.6,19.4
1899-07-15,-131.9,19.4
1899-08-15,-125.8,19.4
1899-09-15,-120.1,19.4
1899-10-15,-114.3,19.4
1899-11-15,-117.1,19.4
1899-12-15,-122.5,19.4
1900-01-15,-128.9,18.3
1900-02-15,-130.8,18.3
1900-03-15,-129.5,18.3
1900-04-15,-129.8,18.3
1900-05-15,-127.3,18.3
1900-06-15,-128.2,18.3
1900-07-15,-130.5,18.3
1900-08-15,-128.7,18.3
1900-09-15,-135.1,18.3
1900-10-15,-130.2,18.3
1900-11-15,-132.1,18.3
1900-12-15,-130.1,18.3
1901-01-15,-132.8,18.3
1901-02-15,-134.7,18.3
1901-03-15,-135.0,17.4
1901-04-15,-131.0,17.4
1901-05-15,-135.0,17.4
1901-06-15,-133.7,17.4
1901-07-15,-136.2,17.4
1901-08-15,-131.0,17.4
1901-09-15,-127.0,17.4
1901-10-15,-124.1,17.4
1901-11-15,-122.6,17.4
1901-12-15,-123.3,17.5
1902-01-15,-122.6,17.4
1902-02-15,-122.1,17.4
1902-03-15,-123.3,17.4
1902-04-15,-128.0,17.4
1902-05-15,-132.3,17.4
1902-06-15,-132.9,17.4
1902-07-15,-131.7,17.3
1902-08-15,-127.8,17.3
1902-09-15,-124.4,17.3
1902-10-15,-121.8,17.3
1902-11-15,-121.3,17.3
1902-12-15,-122.8,17.3
1903-01-15,-121.2,17.0
1903-02-15,-121.7,17.0
1903-03-15,-115.0,17.0
1903-04-15,-110.3,17.0
1903-05-15,-109.8,17.0
1903-06-15,-110.6,17.0
1903-07-15,-116.2,17.0
1903-08-15,-119.5,17.0
1903-09-15,-123.6,17.0
1903-10-15,-120.6,17.0
1903-11-15,-124.2,16.7
1903-12-15,-121.5,17.1
1904-01-15,-125.9,17.1
1904-02-15,-118.2,17.1
1904-03-15,-122.9,17.1
1904-04-15,-123.3,17.1
1904-05-15,-128.3,16.8
1904-06-15,-126.6,16.8
1904-07-15,-130.2,16.8
1904-08-15,-131.2,16.8
1904-09-15,-132.6,16.8
1904-10-15,-131.6,16.8
1904-11-15,-132.3,16.8
1904-12-15,-134.8,16.8
1905-01-15,-138.0,15.4
1905-02-15,-140.1,15.4
1905-03-15,-139.6,15.4
1905-04-15,-138.1,15.4
1905-05-15,-136.0,15.4
1905-06-15,-134.4,15.4
1905-07-15,-132.0,15.4
1905-08-15,-128.1,15.4
1905-09-15,-125.4,15.4
1905-10-15,-127.6,15.4
1905-11-15,-130.7,15.4
1905-12-15,-134.8,15.4
1906-01-15,-131.8,14.7
1906-02-15,-129.5,14.7
1906-03-15,-128.1,14.7
1906-04-15,-128.9,14.7
1906-05-15,-125.5,14.7
1906-06-15,-124.1,14.7
1906-07-15,-122.3,14.7
1906-08-15,-125.4,14.7
1906-09-15,-124.9,14.7
1906-10-15,-125.7,14.7
1906-11-15,-127.6,14.7
1906-12-15,-128.8,14.9
1907-01-15,-129.5,14.9
1907-02-15,-126.4,14.9
1907-03-15,-125.2,14.9
1907-04-15,-122.8,14.9
1907-05-15,-125.1,14.9
1907-06-15,-123.2,14.9
1907-07-15,-126.4,14.9
1907-08-15,-123.8,14.9
1907-09-15,-131.7,14.9
1907-10-15,-133.1,14.9
1907-11-15,-137.6,14.9
1907-12-15,-134.5,14.9
1908-01-15,-131.1,14.5
1908-02-15,-129.1,14.5
1908-03-15,-129.2,14.5
1908-04-15,-131.4,14.5
1908-05-15,-132.5,14.5
1908-06-15,-127.9,14.5
1908-07-15,-127.3,14.5
1908-08-15,-124.9,14.5
1908-09-15,-130.1,14.5
1908-10-15,-134.3,14.3
1908-11-15,-136.3,14.3
1908-12-15,-135.4,14.3
1909-01-15,-127.7,14.3
1909-02-15,-125.1,14.3
1909-03-15,-120.6,14.3
1909-04-15,-123.4,14.3
1909-05-15,-126.2,14.3
1909-06-15,-130.8,14.3
1909-07-15,-129.0,14.3
1909-08-15,-129.8,14.3
1909-09-15,-126.3,15.1
1909-10-15,-126.4,15.1
1909-11-15,-124.5,15.1
1909-12-15,-125.9,15.1
1910-01-15,-127.3,15.1
1910-02-15,-130.6,15.1
1910-03-15,-129.9,14.9
1910-04-15,-129.5,14.9
1910-05-15,-124.7,14.9
1910-06-15,-124.0,14.9
1910-07-15,-121.8,14.9
1910-08-15,-124.4,14.1
1910-09-15,-124.4,14.1
1910-10-15,-126.4,14.1
1910-11-15,-126.6,14.1
1910-12-15,-127.4,14.3
1911-01-15,-127.4,14.3
1911-02-15,-123.9,14.3
1911-03-15,-121.1,14.3
1911-04-15,-120.6,14.3
1911-05-15,-121.8,14.3
1911-06-15,-121.2,14.3
1911-07-15,-120.1,14.1
1911-08-15,-114.1,14.1
1911-09-15,-111.2,14.0
1911-10-15,-108.1,14.0
1911-11-15,-112.7,14.0
1911-12-15,-114.5,14.1
1912-01-15,-121.9,14.1
1912-02-15,-123.7,14.1
1912-03-15,-127.2,14.1
1912-04-15,-127.1,14.1
1912-05-15,-126.0,14.1
1912-06-15,-120.7,14.1
1912-07-15,-119.9,14.1
1912-08-15,-118.6,14.2
1912-09-15,-119.1,14.2
1912-10-15,-118.7,14.4
1912-11-15,-116.7,14.4
1912-12-15,-114.4,14.3
1913-01-15,-119.8,14.3
1913-02-15,-123.2,14.0
1913-03-15,-128.2,14.0
1913-04-15,-127.7,14.0
1913-05-15,-126.0,14.0
1913-06-15,-120.7,14.0
1913-07-15,-117.2,14.0
1913-08-15,-114.3,14.0
1913-09-15,-114.0,14.0
1913-10-15,-114.8,14.0
1913-11-15,-110.8,14.0
1913-12-15,-116.0,14.2
1914-01-15,-110.9,14.2
1914-02-15,-117.0,14.2
1914-03-15,-115.3,14.2
1914-04-15,-118.1,13.7
1914-05-15,-116.8,13.7
1914-06-15,-119.9,13.7
1914-07-15,-119.7,13.7
1914-08-15,-122.5,13.7
1914-09-15,-117.0,13.7
1914-10-15,-111.8,13.7
1914-11-15,-99.0,13.7
1914-12-15,-88.6,13.7
1915-01-15,-83.7,13.6
1915-02-15,-85.2,13.6
1915-03-15,-93.1,13.6
1915-04-15,-102.3,13.6
1915-05-15,-108.5,13.6
1915-06-15,-111.1,13.6
1915-07-15,-113.6,13.6
1915-08-15,-114.4,13.6
1915-09-15,-115.4,13.6
1915-10-15,-115.2,13.6
1915-11-15,-109.7,13.6
1915-12-15,-110.0,13.8
1916-01-15,-103.7,13.0
1916-02-15,-106.3,13.0
1916-03-15,-101.1,13.0
1916-04-15,-104.1,13.0
1916-05-15,-102.8,12.9
1916-06-15,-108.0,12.9
1916-07-15,-111.7,12.9
1916-08-15,-115.9,12.9
1916-09-15,-113.6,12.9
1916-10-15,-111.7,13.1
1916-11-15,-103.8,13.1
1916-12-15,-102.7,13.1
1917-01-15,-102.8,13.0
1917-02-15,-109.1,12.8
1917-03-15,-112.4,12.8
1917-04-15,-115.9,12.8
1917-05-15,-115.1,12.8
1917-06-15,-113.9,12.8
1917-07-15,-110.1,12.8
1917-08-15,-110.7,12.8
1917-09-15,-111.5,12.8
1917-10-15,-113.1,12.8
1917-11-15,-113.7,12.8
1917-12-15,-111.3,12.8
1918-01-15,-109.7,12.7
1918-02-15,-113.5,12.7
1918-03-15,-115.2,12.7
1918-04-15,-117.1,12.7
1918-05-15,-114.6,12.7
1918-06-15,-112.7,12.7
1918-07-15,-112.1,12.7
1918-08-15,-113.6,12.7
1918-09-15,-109.9,12.7
1918-10-15,-112.0,12.7
1918-11-15,-111.8,12.7
1918-12-15,-116.4,12.7
1919-01-15,-118.1,12.6
1919-02-15,-119.9,12.6
1919-03-15,-118.3,12.7
1919-04-15,-115.4,12.7
1919-05-15,-112.7,12.7
1919-06-15,-106.2,12.7
1919-07-15,-107.0,12.7
1919-08-15,-103.5,12.7
1919-09-15,-105.2,12.7
1919-10-15,-108.5,12.6
1919-11-15,-109.9,12.6
1919-12-15,-114.4,13.0
1920-01-15,-114.9,13.0
1920-02-15,-116.9,13.0
1920-03-15,-116.2,13.0
1920-04-15,-112.1,13.0
1920-05-15,-107.4,13.0
1920-06-15,-103.6,13.0
1920-07-15,-103.2,13.0
1920-08-15,-106.0,13.0
1920-09-15,-109.6,13.0
1920-10-15,-110.8,13.0
1920-11-15,-112.2,13.0
1920-12-15,-110.1,13.3
1921-01-15,-110.0,13.1
1921-02-15,-106.9,13.1
1921-03-15,-105.5,13.1
1921-04-15,-104.1,13.1
1921-05-15,-102.1,13.1
1921-06-15,-103.5,13.1
1921-07-15,-105.1,13.1
1921-08-15,-111.3,13.1
1921-09-15,-114.2,13.1
1921-10-15,-113.1,13.1
1921-11-15,-113.6,13.1
1921-12-15,-109.4,13.1
1922-01-15,-111.0,13.1
1922-02-15,-106.7,13.1
1922-03-15,-108.0,13.1
1922-04-15,-107.0,13.1
1922-05-15,-105.9,13.1
1922-06-15,-106.2,13.2
1922-07-15,-111.3,13.2
1922-08-15,-114.7,13.2
1922-09-15,-116.4,13.2
1922-10-15,-112.5,13.2
1922-11-15,-106.6,13.2
1922-12-15,-103.2,13.3
1923-01-15,-104.6,13.0
1923-02-15,-109.2,13.0
1923-03-15,-107.9,13.0
1923-04-15,-103.6,13.0
1923-05-15,-99.3,12.9
1923-06-15,-101.9,12.9
1923-07-15,-107.5,12.9
1923-08-15,-110.5,12.9
1923-09-15,-110.5,12.9
1923-10-15,-109.7,12.9
1923-11-15,-113.9,12.9
1923-12-15,-116.7,13.0
1924-01-15,-118.0,13.0
1924-02-15,-112.7,13.0
1924-03-15,-113.4,13.0
1924-04-15,-111.8,13.0
1924-05-15,-115.2,13.0
1924-06-15,-115.3,13.1
1924-07-15,-116.8,13.1
1924-08-15,-116.1,13.1
1924-09-15,-115.6,13.2
1924-10-15,-115.7,13.2
1924-11-15,-117.0,13.0
1924-12-15,-115.2,13.6
1925-01-15,-112.3,13.6
1925-02-15,-110.6,13.6
1925-03-15,-112.5,13.6
1925-04-15,-115.3,13.6
1925-05-15,-114.8,13.6
1925-06-15,-115.0,13.6
1925-07-15,-115.3,13.6
1925-08-15,-116.3,13.6
1925-09-15,-115.0,13.6
1925-10-15,-112.9,13.6
1925-11-15,-110.9,13.6
1925-12-15,-107.4,14.2
1926-01-15,-111.3,14.1
1926-02-15,-112.2,14.1
1926-03-15,-115.4,13.7
1926-04-15,-112.3,13.7
1926-05-15,-110.3,13.7
1926-06-15,-107.7,13.7
1926-07-15,-104.5,13.6
1926-08-15,-97.9,13.6
1926-09-15,-97.2,13.6
1926-10-15,-96.3,13.6
1926-11-15,-105.8,13.6
1926-12-15,-109.4,13.6
1927-01-15,-113.4,13.2
1927-02-15,-109.1,13.2
1927-03-15,-107.2,13.2
1927-04-15,-104.9,13.2
1927-05-15,-105.3,13.1
1927-06-15,-104.5,13.1
1927-07-15,-106.3,13.1
1927-08-15,-103.7,12.5
1927-09-15,-109.6,12.5
1927-10-15,-106.9,12.5
1927-11-15,-110.7,12.5
1927-12-15,-111.5,12.5
1928-01-15,-117.7,12.5
1928-02-15,-117.6,12.4
1928-03-15,-115.7,12.3
1928-04-15,-110.4,12.3
1928-05-15,-108.9,12.3
1928-06-15,-106.3,12.3
1928-07-15,-106.0,12.3
1928-08-15,-105.6,12.3
1928-09-15,-106.1,12.3
1928-10-15,-111.2,12.3
1928-11-15,-115.6,12.3
1928-12-15,-118.7,12.3
1929-01-15,-120.8,12.3
1929-02-15,-115.8,12.4
1929-03-15,-113.3,12.4
1929-04-15,-107.4,12.1
1929-05-15,-109.9,12.1
1929-06-15,-106.1,12.1
1929-07-15,-106.0,12.1
1929-08-15,-106.4,12.1
1929-09-15,-107.0,12.1
1929-10-15,-109.4,12.1
1929-11-15,-109.2,12.1
1929-12-15,-112.1,12.1
1930-01-15,-110.8,12.0
1930-02-15,-112.3,12.0
1930-03-15,-112.3,12.0
1930-04-15,-114.3,11.9
1930-05-15,-112.7,11.9
1930-06-15,-105.7,11.9
1930-07-15,-98.2,11.9
1930-08-15,-96.1,11.9
1930-09-15,-98.5,11.9
1930-10-15,-101.5,11.9
1930-11-15,-105.6,11.9
1930-12-15,-107.8,12.2
1931-01-15,-106.9,12.2
1931-02-15,-109.1,12.2
1931-03-15,-106.6,12.2
1931-04-15,-108.5,12.2
1931-05-15,-106.4,12.2
1931-06-15,-105.9,12.2
1931-07-15,-101.9,12.2
1931-08-15,-103.7,12.2
1931-09-15,-106.0,12.2
1931-10-15,-109.0,12.2
1931-11-15,-109.9,12.2
1931-12-15,-106.5,12.2
1932-01-15,-104.1,11.9
1932-02-15,-100.8,11.9
1932-03-15,-101.8,11.9
1932-04-15,-100.5,11.9
1932-05-15,-102.2,11.9
1932-06-15,-102.3,11.9
1932-07-15,-101.5,11.9
1932-08-15,-102.9,11.9
1932-09-15,-100.3,11.9
1932-10-15,-100.7,11.9
1932-11-15,-98.2,11.8
1932-12-15,-97.1,11.9
1933-01-15,-93.8,11.8
1933-02-15,-93.0,11.8
1933-03-15,-92.4,11.8
1933-04-15,-92.6,11.8
1933-05-15,-95.2,11.8
1933-06-15,-94.5,11.8
1933-07-15,-99.0,11.8
1933-08-15,-97.7,11.8
1933-09-15,-99.0,11.8
1933-10-15,-98.7,11.7
1933-11-15,-102.2,11.7
1933-12-15,-102.2,12.0
1934-01-15,-101.5,11.9
1934-02-15,-99.1,11.8
1934-03-15,-96.7,11.8
1934-04-15,-97.8,11.8
1934-05-15,-98.7,11.8
1934-06-15,-102.7,11.8
1934-07-15,-103.3,11.8
1934-08-15,-107.3,11.8
1934-09-15,-105.8,11.8
1934-10-15,-108.5,11.8
1934-11-15,-102.6,11.8
1934-12-15,-100.5,12.0
1935-01-15,-95.5,12.0
1935-02-15,-93.3,12.0
1935-03-15,-92.9,12.0
1935-04-15,-91.7,12.0
1935-05-15,-95.0,11.8
1935-06-15,-94.3,11.8
1935-07-15,-95.3,11.8
1935-08-15,-96.1,11.8
1935-09-15,-98.4,11.8
1935-10-15,-101.3,11.8
1935-11-15,-102.8,11.8
1935-12-15,-101.0,11.8
1936-01-15,-97.1,11.7
1936-02-15,-94.7,11.7
1936-03-15,-99.2,11.7
1936-04-15,-102.5,11.7
1936-05-15,-104.4,11.8
1936-06-15,-101.9,11.8
1936-07-15,-102.9,11.8
1936-08-15,-100.9,11.8
1936-09-15,-103.6,11.8
1936-10-15,-99.3,11.8
1936-11-15,-100.6,11.8
1936-12-15,-97.6,11.9
1937-01-15,-98.9,11.8
1937-02-15,-93.9,11.8
1937-03-15,-95.5,11.8
1937-04-15,-93.5,11.8
1937-05-15,-94.9,11.9
1937-06-15,-96.9,11.8
1937-07-15,-96.6,11.8
1937-08-15,-97.4,11.8
1937-09-15,-93.9,11.8
1937-10-15,-93.4,11.8
1937-11-15,-91.5,11.8
1937-12-15,-89.9,11.8
1938-01-15,-87.7,11.7
1938-02-15,-86.4,11.7
1938-03-15,-85.9,11.7
1938-04-15,-88.0,11.7
1938-05-15,-93.7,11.7
1938-06-15,-96.8,11.7
1938-07-15,-101.3,11.7
1938-08-15,-97.8,11.7
1938-09-15,-96.1,11.7
1938-10-15,-90.7,11.7
1938-11-15,-89.9,11.7
1938-12-15,-90.6,12.6
1939-01-15,-90.0,12.4
1939-02-15,-94.4,12.4
1939-03-15,-91.8,12.4
1939-04-15,-89.7,12.4
1939-05-15,-84.4,12.4
1939-06-15,-77.7,12.1
1939-07-15,-77.6,12.1
1939-08-15,-80.4,12.1
1939-09-15,-86.9,12.1
1939-10-15,-91.0,12.0
1939-11-15,-89.4,12.0
1939-12-15,-89.2,12.1
1940-01-15,-88.3,11.1
1940-02-15,-89.5,11.1
1940-03-15,-91.2,11.1
1940-04-15,-95.9,11.0
1940-05-15,-96.6,11.0
1940-06-15,-101.0,11.0
1940-07-15,-99.1,11.0
1940-08-15,-96.2,11.0
1940-09-15,-92.2,11.0
1940-10-15,-87.9,11.0
1940-11-15,-84.7,11.0
1940-12-15,-83.7,11.0
1941-01-15,-84.4,10.9
1941-02-15,-81.2,10.9
1941-03-15,-80.8,10.9
1941-04-15,-79.4,10.9
1941-05-15,-81.3,10.8
1941-06-15,-81.3,10.8
1941-07-15,-78.3,10.8
1941-08-15,-73.9,10.8
1941-09-15,-74.4,10.8
1941-10-15,-77.8,10.8
1941-11-15,-83.5,10.8
1941-12-15,-83.6,10.9
1942-01-15,-85.2,10.9
1942-02-15,-84.2,10.8
1942-03-15,-85.5,10.8
1942-04-15,-86.0,10.8
1942-05-15,-84.8,10.8
1942-06-15,-81.8,10.8
1942-07-15,-78.4,10.9
1942-08-15,-75.4,10.8
1942-09-15,-73.5,10.8
1942-10-15,-74.4,10.8
1942-11-15,-74.5,10.8
1942-12-15,-76.9,10.8
1943-01-15,-74.4,10.8
1943-02-15,-73.6,10.8
1943-03-15,-74.1,10.8
1943-04-15,-74.3,10.8
1943-05-15,-78.4,10.7
1943-06-15,-78.2,10.7
1943-07-15,-82.3,10.7
1943-08-15,-82.8,10.7
1943-09-15,-84.2,10.7
1943-10-15,-84.9,10.7
1943-11-15,-86.1,10.7
1943-12-15,-86.7,11.2
1944-01-15,-83.2,10.9
1944-02-15,-77.1,10.9
1944-03-15,-74.4,10.8
1944-04-15,-79.0,10.7
1944-05-15,-86.3,10.6
1944-06-15,-92.1,10.6
1944-07-15,-94.9,10.6
1944-08-15,-95.1,10.6
1944-09-15,-93.2,10.6
1944-10-15,-90.2,10.6
1944-11-15,-86.5,10.6
1944-12-15,-85.3,10.6
1945-01-15,-84.3,10.6
1945-02-15,-84.6,10.6
1945-03-15,-85.4,10.6
1945-04-15,-84.1,10.6
1945-05-15,-82.8,10.6
1945-06-15,-78.8,10.6
1945-07-15,-82.8,10.6
1945-08-15,-83.0,10.7
1945-09-15,-87.3,10.8
1945-10-15,-84.8,10.8
1945-11-15,-84.5,10.8
1945-12-15,-81.2,11.0
1946-01-15,-82.3,10.9
1946-02-15,-78.4,10.9
1946-03-15,-79.2,10.9
1946-04-15,-75.3,10.9
1946-05-15,-72.8,10.8
1946-06-15,-69.8,10.8
1946-07-15,-68.5,10.4
1946-08-15,-71.0,10.4
1946-09-15,-74.9,10.4
1946-10-15,-78.4,10.4
1946-11-15,-81.0,10.4
1946-12-15,-81.7,10.2
1947-01-15,-82.3,10.0
1947-02-15,-80.1,10.0
1947-03-15,-77.5,9.8
1947-04-15,-79.8,9.7
1947-05-15,-79.2,9.5
1947-06-15,-77.2,9.5
1947-07-15,-74.5,9.5
1947-08-15,-71.9,9.5
1947-09-15,-68.5,9.5
1947-10-15,-64.0,9.5
1947-11-15,-59.3,9.5
1947-12-15,-61.0,9.5
1948-01-15,-63.9,9.3
1948-02-15,-68.4,9.3
1948-03-15,-70.5,9.3
1948-04-15,-70.5,9.3
1948-05-15,-69.2,9.3
1948-06-15,-69.3,9.3
1948-07-15,-67.7,9.3
1948-08-15,-69.7,9.3
1948-09-15,-68.3,9.2
1948-10-15,-68.7,9.1
1948-11-15,-66.8,9.2
1948-12-15,-65.6,9.2
1949-01-15,-64.0,8.8
1949-02-15,-63.6,8.8
1949-03-15,-67.2,8.8
1949-04-15,-69.8,8.8
1949-05-15,-71.9,8.8
1949-06-15,-72.2,8.2
1949-07-15,-73.3,8.2
1949-08-15,-72.0,8.2
1949-09-15,-73.4,8.2
1949-10-15,-69.7,8.3
1949-11-15,-69.2,8.1
1949-12-15,-67.7,8.1
1950-01-15,-69.6,8.0
1950-02-15,-70.8,7.9
1950-03-15,-70.9,7.9
1950-04-15,-68.8,7.9
1950-05-15,-68.3,7.9
1950-06-15,-67.9,7.9
1950-07-15,-68.5,7.9
1950-08-15,-69.2,7.9
1950-09-15,-67.5,7.9
1950-10-15,-64.7,7.9
1950-11-15,-61.9,7.9
1950-12-15,-59.5,7.9
1951-01-15,-60.9,7.8
1951-02-15,-56.9,7.8
1951-03-15,-51.6,7.8
1951-04-15,-51.0,7.8
1951-05-15,-50.7,7.7
1951-06-15,-55.8,7.7
1951-07-15,-59.4,7.7
1951-08-15,-63.0,7.7
1951-09-15,-61.7,7.7
1951-10-15,-61.6,7.7
1951-11-15,-59.8,7.7
1951-12-15,-61.6,7.7
1952-01-15,-62.2,7.7
1952-02-15,-62.7,7.7
1952-03-15,-64.4,7.7
1952-04-15,-64.2,7.7
1952-05-15,-63.6,7.7
1952-06-15,-61.1,7.7
1952-07-15,-62.2,7.7
1952-08-15,-61.4,7.7
